Sno,Entity,Code,Year,Fertilizer Usage (kg/ha),Irrigated Land (%),Total Crop Yield (tons),Greenhouse Area (ha)
1465,Brazil,BRA,2007,12.93,6.0,58471,2.2
1466,Peru,PER,2012,15.02,26.6,140916,0.34
1467,Brazil,BRA,1983,0.92,17.84,8501,0.26
1468,Denmark,DNK,2013,7.35,39.61,36167,3.17
1469,Spain,ESP,1982,0.55,37.91,5956,0.15
1470,Canada,CAN,2005,3.74,45.53,33454,1.9
1471,Oman,OMN,1987,1.95,0.74,34589,0.66
1472,Japan,JPN,1985,0.54,40.46,16762,0.14
1473,Germany,GER,1995,9.97,46.92,30391,1.49
1474,Qatar,QAT,2003,8.85,39.47,74862,1.83
1475,Mexico,MEX,2018,37.08,6.51,49683,2.86
1476,United States,USA,2009,7.96,4.06,121787,1.23
1477,Brazil,BRA,1992,4.93,1.04,56415,0.71
1478,Qatar,QAT,1984,1.69,31.44,17991,0.28
1479,Peru,PER,2004,2.58,31.48,56808,1.58
1480,United States,USA,1999,16.25,49.35,43758,1.4
1481,Mexico,MEX,1997,2.19,19.9,19385,0.3
1482,Canada,CAN,1997,16.08,16.6,61295,0.71
1483,Spain,ESP,1981,0.9,31.22,3139,0.05
1484,Nigeria,NGR,1989,5.24,41.28,25536,0.3
1485,Qatar,QAT,1991,6.48,46.84,50935,0.28
1486,Russia,RUS,1992,8.26,40.16,20058,0.27
1487,Egypt,EGY,1990,4.48,21.33,10386,0.43
1488,United States,USA,1998,12.29,31.75,23278,0.98
1489,France,FRA,2014,4.77,42.81,64378,0.53
1490,United Kingdom,UK,2018,5.65,24.53,43059,3.62
1491,Egypt,EGY,2005,12.79,10.83,75284,1.97
1492,Canada,CAN,1993,7.73,8.49,29332,0.99
1493,Argentina,ARG,2003,20.68,0.01,39604,0.59
1494,France,FRA,2020,7.77,35.91,160013,2.57
1495,Qatar,QAT,1980,0.0,5.55,0,0.0
1496,Brazil,BRA,2001,6.07,12.19,78758,2.07
1497,Canada,CAN,2002,10.0,14.89,52735,1.7
1498,Spain,ESP,1998,6.93,28.02,54851,1.11
1499,Nigeria,NGR,1997,7.82,19.9,80502,1.47
1500,Turkey,TUR,1991,2.59,33.73,12643,0.26
1501,Qatar,QAT,2007,14.94,2.78,81028,0.31
1502,Nigeria,NGR,2007,22.18,6.2,119277,1.95
1503,Russia,RUS,2012,15.92,24.96,107260,0.6
1504,India,IND,1998,9.75,16.85,37934,0.37
1505,Peru,PER,2007,23.33,14.79,69949,2.08
1506,Spain,ESP,2016,26.48,3.35,133958,1.24
1507,India,IND,2005,13.54,44.79,114081,1.66
1508,Qatar,QAT,2014,11.29,34.59,39585,3.15
1509,Peru,PER,2013,29.58,6.08,42443,1.27
1510,Turkey,TUR,2014,21.06,3.25,78207,1.0
1511,United States,USA,2019,11.66,48.74,75313,0.76
1512,Germany,GER,1995,5.13,34.06,30895,0.33
1513,Canada,CAN,2017,30.44,20.87,69747,0.58
1514,Nigeria,NGR,1992,1.68,35.09,21399,0.21
1515,Canada,CAN,2002,21.84,37.82,33494,1.08
1516,United States,USA,2001,4.56,39.0,99452,0.82
1517,Peru,PER,1995,12.25,23.89,23651,1.1
1518,Qatar,QAT,2007,12.29,21.49,49075,2.38
1519,Peru,PER,2014,18.46,0.55,67492,2.74
1520,Germany,GER,1987,6.25,46.33,33124,0.4
1521,Spain,ESP,2001,9.9,30.17,84479,0.4
1522,Nigeria,NGR,2000,11.67,10.16,83175,1.48
1523,United States,USA,2005,3.61,45.98,35475,1.07
1524,Denmark,DNK,2019,3.98,45.75,169464,0.69
1525,Japan,JPN,2000,6.41,49.46,52655,1.72
1526,France,FRA,2004,17.1,43.7,49231,0.97
1527,Russia,RUS,2020,8.37,49.89,132120,1.19
1528,Brazil,BRA,1980,0.0,12.23,0,0.0
1529,India,IND,1985,2.35,42.11,20573,0.46
1530,Mexico,MEX,2002,15.03,41.15,100319,0.89
1531,Oman,OMN,2002,16.3,11.55,103675,0.92
1532,Spain,ESP,2002,5.73,4.92,42954,1.37
1533,India,IND,2011,5.32,48.97,83558,2.36
1534,Turkey,TUR,2009,27.44,14.8,30696,0.45
1535,Turkey,TUR,1992,4.02,43.54,54207,0.76
1536,Peru,PER,1997,14.76,0.21,27510,1.63
1537,Qatar,QAT,2002,19.3,1.05,97809,0.74
1538,France,FRA,1994,11.13,23.29,32445,1.29
1539,Mexico,MEX,2012,8.06,11.94,79121,3.06
1540,Oman,OMN,2000,16.79,34.49,23130,0.68
1541,Argentina,ARG,2018,30.11,28.28,87685,2.96
1542,France,FRA,2002,14.02,3.87,100176,0.69
1543,Japan,JPN,2006,10.49,8.13,28656,1.99
1544,India,IND,1997,5.72,19.4,44630,1.39
1545,Mexico,MEX,2003,4.82,9.28,25888,0.74
1546,United Kingdom,UK,2019,21.79,39.61,96864,2.9
1547,Japan,JPN,1986,3.76,20.8,10143,0.5
1548,Spain,ESP,1999,8.04,4.67,38168,0.8
1549,Nigeria,NGR,2006,13.72,24.22,117270,0.65
1550,Peru,PER,1985,2.14,4.54,13720,0.09
1551,Qatar,QAT,2006,17.6,6.45,54474,1.61
1552,Russia,RUS,1988,7.29,11.98,26858,0.78
1553,United States,USA,2010,7.43,42.98,47052,2.52
1554,Argentina,ARG,2000,8.87,46.23,40751,0.98
1555,Kenya,KEN,2005,5.67,41.31,79624,1.46
1556,India,IND,2019,25.84,16.7,76053,1.37
1557,Turkey,TUR,1992,9.07,13.62,44598,0.3
1558,Argentina,ARG,2002,20.65,27.46,65251,1.17
1559,Brazil,BRA,1999,6.67,36.09,77671,0.98
1560,Argentina,ARG,2016,34.39,49.67,172547,2.05
1561,Argentina,ARG,2007,4.24,6.58,39506,2.59
1562,Japan,JPN,1996,10.28,2.46,37418,1.03
1563,Oman,OMN,2007,4.09,34.72,61511,1.74
1564,Argentina,ARG,2020,36.18,41.61,64189,0.86
1565,Oman,OMN,1981,0.58,42.32,4241,0.1
1566,United States,USA,2004,16.86,33.92,96948,1.91
1567,Germany,GER,2020,33.94,47.7,117508,3.56
1568,Brazil,BRA,1985,1.18,25.55,15755,0.24
1569,France,FRA,1990,1.35,45.69,12381,0.55
1570,Germany,GER,2017,32.97,48.39,119215,2.11
1571,Peru,PER,1985,1.92,42.36,20826,0.14
1572,Turkey,TUR,1990,2.16,15.49,32953,0.72
1573,Qatar,QAT,1993,6.78,9.81,26795,1.19
1574,Brazil,BRA,1981,0.64,27.41,3670,0.02
1575,Kenya,KEN,2019,4.99,22.65,95392,0.69
1576,Nigeria,NGR,1982,0.69,43.89,6358,0.15
1577,Spain,ESP,2014,4.4,5.0,100308,1.18
1578,India,IND,2012,15.31,12.89,80790,2.12
1579,Mexico,MEX,2003,20.83,37.59,89136,1.67
1580,Canada,CAN,1998,17.72,4.75,81639,0.7
1581,France,FRA,1997,11.45,16.04,17354,1.42
1582,Japan,JPN,2003,5.65,19.36,108892,1.37
1583,France,FRA,2014,31.12,31.13,103566,3.0
1584,Japan,JPN,1980,0.0,7.91,0,0.0
1585,Germany,GER,2015,8.34,43.03,154787,3.09
1586,Japan,JPN,2004,22.31,22.38,68841,0.28
1587,Turkey,TUR,2013,25.8,45.85,143216,1.05
1588,Nigeria,NGR,2004,18.2,23.39,41051,0.43
1589,India,IND,1995,11.07,13.75,24550,0.75
1590,India,IND,2013,9.25,7.09,119786,2.97
1591,Turkey,TUR,2008,8.12,0.19,125456,1.46
1592,United States,USA,1998,12.95,26.61,82254,1.56
1593,Qatar,QAT,2002,6.55,5.36,78649,0.87
1594,Germany,GER,1998,8.91,19.59,55835,0.73
1595,Mexico,MEX,2004,19.29,29.46,55813,2.17
1596,United States,USA,1995,12.08,13.78,73800,0.72
1597,Russia,RUS,1988,4.06,8.76,18230,0.65
1598,Denmark,DNK,1980,0.0,38.74,0,0.0
1599,France,FRA,1998,15.39,47.34,56302,1.72
1600,Canada,CAN,2012,22.06,5.02,109889,1.97
1601,Japan,JPN,2013,10.08,7.78,84939,2.59
1602,Kenya,KEN,1995,5.2,48.0,72889,0.27
1603,Peru,PER,2019,14.95,1.89,128182,2.12
1604,Mexico,MEX,1997,3.49,48.88,80769,1.55
1605,Turkey,TUR,2013,11.41,0.23,34002,2.93
1606,Nigeria,NGR,2004,6.93,43.68,78976,0.34
1607,Nigeria,NGR,1985,2.55,15.37,19343,0.19
1608,Oman,OMN,2000,18.35,46.93,79606,1.0
1609,Oman,OMN,1985,0.97,15.85,23099,0.13
1610,United Kingdom,UK,2011,23.2,32.72,31545,2.35
1611,United Kingdom,UK,2020,28.74,4.0,40052,1.06
1612,Peru,PER,2018,7.07,12.12,109784,1.57
1613,Denmark,DNK,2010,27.91,38.68,33515,2.09
1614,Oman,OMN,1989,5.5,26.43,44083,0.48
1615,India,IND,2009,12.39,46.4,54759,2.22
1616,United Kingdom,UK,1997,13.28,21.44,49141,1.64
1617,Nigeria,NGR,2003,7.63,43.49,28624,0.47
1618,Turkey,TUR,1988,5.79,22.45,24705,0.59
1619,France,FRA,2010,4.07,48.96,75594,0.92
1620,Turkey,TUR,1994,11.98,47.99,16500,0.66
1621,United Kingdom,UK,1983,1.51,16.46,7021,0.04
1622,Egypt,EGY,2019,26.25,44.3,100064,0.87
1623,Japan,JPN,1988,2.39,42.38,39677,0.31
1624,Canada,CAN,1988,5.67,10.53,14652,0.33
1625,Kenya,KEN,2005,19.88,31.21,79477,2.27
1626,United Kingdom,UK,1983,1.58,3.63,14847,0.23
1627,Canada,CAN,1996,10.5,41.84,66689,1.56
1628,Qatar,QAT,1995,7.66,8.73,74602,0.96
1629,Argentina,ARG,1994,12.67,3.54,68224,0.44
1630,Germany,GER,2014,18.63,20.01,100577,1.34
1631,Nigeria,NGR,1984,3.43,28.85,15142,0.16
1632,Spain,ESP,1984,3.28,42.75,5767,0.16
1633,United States,USA,1999,8.92,48.71,52527,1.34
1634,Egypt,EGY,1994,4.3,21.97,59305,0.81
1635,Denmark,DNK,1997,7.91,3.02,51362,0.76
1636,Nigeria,NGR,1981,0.84,37.46,3810,0.02
1637,United States,USA,2008,8.54,28.26,111524,0.34
1638,Turkey,TUR,1992,6.86,22.39,24166,0.36
1639,Spain,ESP,1983,2.48,15.46,13508,0.06
1640,United Kingdom,UK,1989,3.76,25.12,25553,0.73
1641,Japan,JPN,2010,20.34,16.93,55222,0.6
1642,Denmark,DNK,2020,12.84,37.85,178466,3.01
1643,Brazil,BRA,1987,1.39,27.19,18698,0.31
1644,Denmark,DNK,1982,1.63,43.84,8002,0.03
1645,Brazil,BRA,1988,1.51,27.18,25537,0.67
1646,Qatar,QAT,2009,9.98,11.91,73297,1.8
1647,Brazil,BRA,1990,8.7,42.55,42395,0.31
1648,Denmark,DNK,2014,14.0,27.86,113487,3.08
1649,France,FRA,2016,35.13,10.34,92240,0.51
1650,Germany,GER,1992,11.78,31.18,17260,0.34
1651,Kenya,KEN,2015,11.95,17.89,160362,2.72
1652,United Kingdom,UK,1992,1.64,42.22,13702,0.89
1653,United Kingdom,UK,1991,8.08,22.66,48980,0.4
1654,Nigeria,NGR,2016,18.21,36.32,87834,0.56
1655,Canada,CAN,1989,1.72,4.78,32016,0.79
1656,Oman,OMN,1988,5.89,19.8,37510,0.31
1657,Turkey,TUR,1986,0.77,49.16,9640,0.17
1658,India,IND,1981,0.88,40.42,3267,0.06
1659,Qatar,QAT,2002,4.95,8.0,89270,2.02
1660,Argentina,ARG,2018,8.15,13.89,153152,0.53
1661,Canada,CAN,2019,10.07,16.49,120998,3.08
1662,India,IND,2018,36.64,32.52,132960,2.34
1663,Denmark,DNK,2000,14.48,37.85,80602,0.97
1664,Russia,RUS,2002,18.07,37.48,96010,1.69
1665,Kenya,KEN,2008,12.82,25.49,113323,2.71
1666,Nigeria,NGR,1993,5.23,40.54,31408,0.4
1667,Peru,PER,2005,7.78,21.85,124672,0.57
1668,Peru,PER,1984,2.13,6.19,10952,0.37
1669,Brazil,BRA,2010,17.9,28.22,32935,2.11
1670,Egypt,EGY,2004,16.05,47.62,58811,1.19
1671,Egypt,EGY,2010,9.94,39.65,45333,1.85
1672,France,FRA,1999,18.12,28.94,28229,1.46
1673,Oman,OMN,1996,4.04,32.34,34018,1.27
1674,Japan,JPN,1981,0.97,46.53,1213,0.09
1675,Qatar,QAT,2004,2.72,21.42,90097,1.16
1676,Peru,PER,1992,6.4,16.57,15551,0.44
1677,Germany,GER,2018,15.2,48.86,68900,2.57
1678,United States,USA,2007,13.61,43.17,37033,1.28
1679,Brazil,BRA,1985,3.07,16.15,6263,0.32
1680,Germany,GER,1982,0.98,23.19,4142,0.1
1681,France,FRA,2014,16.09,20.75,111778,0.81
1682,Spain,ESP,1997,12.91,7.45,82598,0.89
1683,Brazil,BRA,1990,7.17,47.89,45022,0.72
1684,Canada,CAN,1999,16.15,20.22,85570,1.56
1685,Egypt,EGY,1984,1.3,43.77,6817,0.22
1686,Egypt,EGY,1998,11.67,9.47,37073,0.45
1687,Argentina,ARG,2001,13.16,27.39,27417,0.99
1688,India,IND,1998,7.79,1.2,74049,1.45
1689,Nigeria,NGR,1995,8.06,38.21,19188,0.71
1690,Denmark,DNK,2003,8.8,29.05,74216,1.67
1691,Oman,OMN,2020,9.11,31.28,79660,2.23
1692,Qatar,QAT,1983,0.88,2.59,5921,0.1
1693,Mexico,MEX,1994,2.73,10.55,69480,1.14
1694,Kenya,KEN,2004,17.15,3.72,96650,0.42
1695,Canada,CAN,2014,23.62,14.45,147823,1.95
1696,Peru,PER,1993,12.42,31.37,42743,0.37
1697,Russia,RUS,1998,13.62,28.31,80713,0.29
1698,Kenya,KEN,2017,5.43,30.61,132532,2.04
1699,Kenya,KEN,2015,31.35,27.46,167464,1.92
1700,Nigeria,NGR,1986,5.26,13.65,12752,0.44
1701,Japan,JPN,2009,14.47,12.23,98057,2.23
1702,Argentina,ARG,1998,11.29,6.85,67689,1.36
1703,Egypt,EGY,2004,23.48,42.45,61721,1.12
1704,United States,USA,1995,8.69,30.82,67782,1.0
1705,India,IND,2019,35.68,9.33,191849,2.42
1706,Mexico,MEX,1987,1.22,8.86,20825,0.34
1707,Nigeria,NGR,1997,4.62,43.65,43563,1.08
1708,Argentina,ARG,2007,13.41,37.14,77969,2.57
1709,United States,USA,1995,9.39,32.97,66164,0.41
1710,Mexico,MEX,1998,15.02,20.34,64473,1.65
1711,Egypt,EGY,1996,15.83,13.1,18865,0.24
1712,Qatar,QAT,1992,5.4,48.97,38024,0.45
1713,Egypt,EGY,1986,0.86,39.86,6415,0.22
1714,Nigeria,NGR,2006,21.35,15.09,106967,1.73
1715,Egypt,EGY,1989,5.8,42.38,20819,0.2
1716,Spain,ESP,2013,9.2,37.95,95304,2.95
1717,Spain,ESP,2015,19.09,14.85,146814,2.96
1718,Nigeria,NGR,2004,18.43,21.33,28459,1.65
1719,Qatar,QAT,1985,3.97,9.3,8170,0.26
1720,Qatar,QAT,2003,12.64,5.55,59612,2.16
1721,France,FRA,1997,6.37,36.14,32634,1.44
1722,Nigeria,NGR,2002,21.48,13.38,51735,1.21
1723,United States,USA,1985,3.49,41.0,24963,0.37
1724,Turkey,TUR,2008,13.09,49.78,120446,1.71
1725,Peru,PER,2004,8.46,3.83,108854,1.51
1726,Brazil,BRA,1996,12.13,23.65,75971,0.64
1727,Japan,JPN,2003,7.31,40.1,54366,1.19
1728,Egypt,EGY,1990,2.55,39.45,21883,0.17
1729,United States,USA,2005,14.42,38.0,48406,1.05
1730,Argentina,ARG,2013,11.91,17.45,142575,2.4
1731,Canada,CAN,2007,17.98,22.69,100391,2.59
1732,France,FRA,1982,0.41,29.75,3889,0.19
1733,Egypt,EGY,1990,6.89,48.7,25079,0.6
1734,Egypt,EGY,2017,13.13,16.38,111993,2.39
1735,Argentina,ARG,1993,1.3,46.16,40463,0.35
1736,Spain,ESP,2005,5.36,13.47,113872,1.81
1737,United Kingdom,UK,2000,18.81,49.45,50445,0.33
1738,Peru,PER,2018,33.46,33.51,176095,1.35
1739,Nigeria,NGR,2009,9.0,23.18,80198,2.03
1740,Kenya,KEN,1987,5.6,30.67,27898,0.27
1741,United States,USA,1999,12.31,13.63,89699,0.28
1742,Turkey,TUR,2011,30.19,13.71,143539,2.63
1743,Mexico,MEX,2001,9.16,5.68,25784,0.8
1744,Brazil,BRA,1986,4.28,5.7,10936,0.09
1745,Turkey,TUR,1988,1.26,17.38,23260,0.13
1746,Germany,GER,1980,0.0,38.14,0,0.0
1747,Qatar,QAT,2008,27.09,30.4,99779,0.73
1748,Mexico,MEX,1987,4.1,5.13,33451,0.56
1749,Turkey,TUR,1983,1.08,42.61,4348,0.12
1750,Nigeria,NGR,2014,7.08,30.07,95452,2.8
1751,France,FRA,1982,1.47,48.04,3539,0.05
1752,United States,USA,2019,26.53,33.51,178480,2.12
1753,Oman,OMN,1986,2.62,8.76,29149,0.43
1754,United States,USA,2006,24.85,23.69,75784,1.79
1755,Russia,RUS,1980,0.0,32.42,0,0.0
1756,Turkey,TUR,2006,9.71,1.41,107670,2.42
1757,Kenya,KEN,1995,13.93,0.75,56828,0.46
1758,India,IND,2017,14.39,6.47,89491,2.01
1759,Turkey,TUR,1986,1.96,12.58,27297,0.54
1760,Argentina,ARG,2002,12.78,21.48,107873,0.37
1761,India,IND,2020,33.66,24.37,129256,0.6
1762,France,FRA,1990,1.93,6.9,32629,0.31
1763,Egypt,EGY,2012,30.36,33.67,70081,2.14
1764,Qatar,QAT,2015,28.54,29.81,116830,1.17
1765,Qatar,QAT,2016,9.47,14.72,99308,0.98
1766,Brazil,BRA,2020,29.63,0.68,88350,2.05
1767,Argentina,ARG,1996,7.14,3.88,20299,1.04
1768,Mexico,MEX,2014,15.71,19.58,68368,1.1
1769,Kenya,KEN,1984,3.22,7.7,7165,0.15
1770,Turkey,TUR,2011,29.96,18.84,98213,2.02
1771,Turkey,TUR,1982,0.43,31.41,6813,0.19
1772,Spain,ESP,2014,16.27,27.36,116765,2.4
1773,India,IND,1993,6.93,11.56,33185,1.05
1774,Qatar,QAT,2010,13.16,17.19,80547,1.29
1775,India,IND,2010,12.81,30.7,130108,1.04
1776,Spain,ESP,1996,2.35,43.04,46478,0.81
1777,Nigeria,NGR,2003,16.49,37.66,113875,1.9
1778,India,IND,2002,10.84,27.67,60686,1.12
1779,Peru,PER,1997,4.68,18.11,61171,1.47
1780,Denmark,DNK,1993,10.85,18.25,15618,1.29
1781,Argentina,ARG,1994,11.51,43.97,50587,0.23
1782,Argentina,ARG,1994,7.53,1.96,61679,0.2
1783,United Kingdom,UK,1985,1.84,49.4,23849,0.12
1784,Russia,RUS,2006,17.53,33.22,129721,1.16
1785,Peru,PER,1994,5.03,34.06,29802,0.31
1786,Russia,RUS,2015,10.93,1.9,115551,3.09
1787,Egypt,EGY,1987,5.3,30.28,19620,0.08
1788,Japan,JPN,1994,1.91,24.24,45573,0.54
1789,Brazil,BRA,1982,0.37,5.29,3259,0.05
1790,Turkey,TUR,1992,1.27,13.9,53095,1.13
1791,France,FRA,2020,9.51,44.52,185531,2.81
1792,Japan,JPN,2013,5.35,27.5,92355,3.04
1793,Argentina,ARG,2003,22.91,20.67,48799,2.24
1794,Japan,JPN,2019,14.04,3.63,60970,2.13
1795,Russia,RUS,2011,7.26,35.71,115786,0.96
1796,Oman,OMN,2011,9.82,35.14,69716,0.85
1797,Japan,JPN,2009,27.33,30.7,134506,0.87
1798,Oman,OMN,1992,6.82,25.51,44208,0.89
1799,Japan,JPN,1980,0.0,21.69,0,0.0
1800,Mexico,MEX,2013,29.24,29.66,106841,0.48
1801,Denmark,DNK,1994,6.38,11.67,16563,0.91
1802,Brazil,BRA,1993,5.22,47.06,61459,0.88
1803,France,FRA,2008,8.02,29.44,98328,1.96
1804,Peru,PER,2013,14.52,15.56,164216,1.43
1805,Denmark,DNK,1997,6.55,22.48,53540,1.4
1806,France,FRA,1986,4.26,40.28,23042,0.35
1807,United Kingdom,UK,2008,10.1,8.08,34295,0.55
1808,France,FRA,2010,18.58,14.64,105808,2.45
1809,Brazil,BRA,2004,3.82,33.98,97406,2.3
1810,Turkey,TUR,2017,10.07,15.77,152220,0.57
1811,Oman,OMN,1993,6.07,39.63,53045,0.59
1812,Japan,JPN,1987,6.6,6.52,13335,0.38
1813,United Kingdom,UK,2006,11.43,38.13,127441,0.6
1814,Oman,OMN,1981,0.7,3.42,4980,0.09
1815,Mexico,MEX,1996,5.27,0.63,20838,0.57
1816,Argentina,ARG,2016,7.72,44.91,170848,2.9
1817,Germany,GER,1993,1.98,29.07,28051,0.92
1818,Qatar,QAT,2004,9.0,17.59,90171,1.53
1819,Argentina,ARG,2009,7.01,11.63,68220,0.79
1820,Nigeria,NGR,2008,7.19,30.84,136388,0.84
1821,Germany,GER,1999,14.91,25.45,26714,0.27
1822,Qatar,QAT,2000,2.29,49.58,59819,0.63
1823,United Kingdom,UK,2001,12.64,49.16,56956,0.86
1824,Argentina,ARG,2014,15.01,31.75,78339,2.89
1825,Spain,ESP,2016,20.01,22.14,128956,1.55
1826,Spain,ESP,1995,9.1,24.56,22863,1.17
1827,Canada,CAN,1996,6.11,34.12,61866,0.79
1828,Nigeria,NGR,1995,5.48,5.08,73835,1.21
1829,France,FRA,1981,0.76,16.42,4218,0.1
1830,Mexico,MEX,1983,2.65,3.76,13320,0.09
1831,Canada,CAN,2000,5.47,3.67,48770,1.75
1832,India,IND,2018,7.14,9.79,87382,2.51
1833,Peru,PER,2013,29.96,24.26,101250,2.76
1834,Peru,PER,2009,12.03,39.24,34304,1.99
1835,Kenya,KEN,1985,2.98,24.27,23907,0.24
1836,Brazil,BRA,1996,6.78,16.77,25202,0.49
1837,Peru,PER,2018,8.1,4.12,175257,0.62
1838,Japan,JPN,2004,15.13,27.51,32023,1.4
1839,Canada,CAN,1984,2.29,13.56,17161,0.4
1840,India,IND,1984,1.13,30.75,6431,0.31
1841,Russia,RUS,1999,9.63,48.86,21898,0.75
1842,Brazil,BRA,1995,12.26,5.57,58169,1.27
1843,France,FRA,2020,25.26,10.61,84842,3.17
1844,Nigeria,NGR,2016,6.74,23.65,138887,1.27
1845,Egypt,EGY,2019,23.14,48.43,125593,0.44
1846,Brazil,BRA,1988,5.86,38.59,11481,0.17
1847,Russia,RUS,1984,3.25,44.91,18914,0.36
1848,Egypt,EGY,1981,0.67,16.69,2809,0.09
1849,Qatar,QAT,1988,1.9,49.6,31502,0.29
1850,Nigeria,NGR,2015,25.87,5.14,105142,1.25
1851,Denmark,DNK,2001,14.9,2.65,71766,1.71
1852,Qatar,QAT,2001,2.56,42.78,46432,1.98
1853,Mexico,MEX,2001,9.88,46.36,37830,1.68
1854,Russia,RUS,2013,13.19,4.53,104619,2.13
1855,France,FRA,2008,19.67,5.67,77304,0.89
1856,Peru,PER,2017,10.9,1.66,94736,2.12
1857,Turkey,TUR,2012,20.22,5.23,118088,0.99
1858,Nigeria,NGR,1997,15.67,10.47,63954,1.41
1859,Mexico,MEX,1986,4.91,48.5,7102,0.27
1860,Oman,OMN,1980,0.0,33.39,0,0.0
1861,Mexico,MEX,2012,31.38,38.93,84705,1.42
1862,Russia,RUS,1980,0.0,38.81,0,0.0
1863,Qatar,QAT,2003,15.19,26.75,44702,0.92
1864,Qatar,QAT,1983,1.41,39.87,3619,0.15
1865,Denmark,DNK,1983,2.62,29.79,14954,0.2
1866,Mexico,MEX,1997,5.55,15.73,67085,0.28
1867,United Kingdom,UK,2006,25.56,28.06,35094,2.48
1868,Qatar,QAT,2011,20.22,26.68,33510,1.91
1869,Denmark,DNK,2012,26.05,41.17,124068,1.78
1870,Oman,OMN,2007,4.78,49.09,74432,2.31
1871,United Kingdom,UK,2020,10.6,20.55,165887,3.52
1872,Brazil,BRA,2015,27.39,38.17,164286,2.0
1873,Peru,PER,1985,0.6,4.99,16986,0.47
1874,Denmark,DNK,1995,12.53,38.84,26226,0.24
1875,Russia,RUS,2013,3.71,18.57,136249,0.67
1876,United States,USA,2002,15.21,1.97,106111,1.4
1877,Peru,PER,2003,9.86,18.16,76381,0.96
1878,Qatar,QAT,1992,7.8,30.53,44735,0.62
1879,Canada,CAN,1997,12.35,5.96,39948,0.67
1880,India,IND,1992,4.9,46.2,30313,0.56
1881,Russia,RUS,2016,7.1,3.88,141790,3.03
1882,Kenya,KEN,2018,6.18,46.5,179021,2.41
1883,Denmark,DNK,1996,10.08,35.36,56255,1.6
1884,Turkey,TUR,1994,7.96,16.49,58231,1.13
1885,Brazil,BRA,1997,13.06,19.54,28671,0.59
1886,Spain,ESP,2002,12.29,37.04,40652,0.74
1887,Oman,OMN,2009,13.93,30.07,90716,1.17
1888,Denmark,DNK,2013,15.12,33.58,56305,2.83
1889,Mexico,MEX,1983,0.37,19.46,10619,0.04
1890,Germany,GER,1982,0.8,24.39,4333,0.06
1891,Nigeria,NGR,1986,5.87,49.49,24996,0.55
1892,Kenya,KEN,1997,15.07,10.7,71951,1.15
1893,Germany,GER,1986,2.38,20.89,17130,0.18
1894,Oman,OMN,2019,24.53,14.59,67206,1.16
1895,Germany,GER,1985,4.31,38.26,17935,0.44
1896,Spain,ESP,2001,10.44,38.2,104394,1.9
1897,Kenya,KEN,1980,0.0,14.62,0,0.0
1898,Kenya,KEN,1983,0.5,4.07,3429,0.14
1899,Denmark,DNK,2008,15.66,0.57,29936,2.38
1900,United States,USA,2000,19.45,21.37,45628,1.59
1901,Denmark,DNK,2005,18.1,20.52,44578,2.08
1902,Germany,GER,1993,2.13,49.42,55278,0.74
1903,Argentina,ARG,1988,2.16,23.49,35033,0.74
1904,Nigeria,NGR,1991,8.74,12.82,22379,0.43
1905,Oman,OMN,1985,4.29,44.56,11512,0.12
1906,Kenya,KEN,1999,12.46,24.55,36954,1.4
1907,Qatar,QAT,2003,15.64,29.96,106571,1.35
1908,Oman,OMN,2006,3.26,4.78,78275,2.26
1909,Japan,JPN,2017,31.29,19.15,134108,0.64
1910,Japan,JPN,1987,5.67,47.21,18633,0.6
1911,Qatar,QAT,1980,0.0,29.48,0,0.0
1912,Kenya,KEN,2003,16.97,17.23,58498,1.59
1913,Kenya,KEN,1986,1.76,31.28,14152,0.08
1914,India,IND,1998,2.45,45.52,63682,1.17
1915,Russia,RUS,2001,5.9,13.7,70649,1.57
1916,Spain,ESP,2014,8.87,25.26,73919,1.47
1917,Egypt,EGY,2009,11.72,47.93,46324,0.85
1918,Denmark,DNK,2008,13.34,8.62,69280,1.63
1919,Turkey,TUR,2001,11.71,35.98,55876,1.78
1920,United Kingdom,UK,1990,5.29,30.72,35147,0.39
1921,Denmark,DNK,1999,6.53,33.98,88504,0.62
1922,Germany,GER,2008,3.54,17.56,32052,0.98
1923,Kenya,KEN,2020,25.78,15.69,78985,3.82
1924,Turkey,TUR,2013,15.05,34.21,58570,1.4
1925,United Kingdom,UK,1980,0.0,10.78,0,0.0
1926,Denmark,DNK,2010,26.41,20.98,81564,2.41
1927,Kenya,KEN,2009,22.39,9.41,113568,2.12
1928,Argentina,ARG,1997,14.82,0.42,33484,0.37
1929,Turkey,TUR,1996,8.73,48.5,54047,1.58
1930,Egypt,EGY,2017,8.06,21.59,167810,2.39
1931,Qatar,QAT,1993,9.45,48.47,60355,0.72
1932,Spain,ESP,2002,6.28,7.02,106373,0.98
1933,Canada,CAN,2004,11.93,29.37,98233,2.18
1934,Nigeria,NGR,1994,2.22,10.05,64735,0.45
1935,Brazil,BRA,2001,17.7,39.5,40700,0.75
1936,Argentina,ARG,1982,0.43,39.19,3580,0.04
1937,Spain,ESP,1998,16.43,5.63,18467,1.41
1938,Russia,RUS,2013,28.97,45.6,126303,2.1
1939,Egypt,EGY,2014,17.62,9.73,161495,2.2
1940,Qatar,QAT,1980,0.0,30.65,0,0.0
1941,Canada,CAN,2000,13.15,49.28,70955,1.37
